# {"block_size": 32, "d_model": 32, "n_heads": 2, "n_layers": 2, "batch_size": 4, "lr": 0.003, "steps": 2000, "eval_every": 25, "ckpt_every": 100, "seed": 1337}
step	train_loss	val_loss	secs
1	5.021660	4.396699	5.202
25	3.611284	3.351012	5.147
50	3.171370	3.519538	5.103
75	3.604726	3.305234	3.121
100	3.396387	3.299596	2.021
125	3.238141	3.189411	1.980
150	3.432642	3.347670	2.007
175	2.769005	2.976508	1.833
200	3.024035	2.829289	2.143
225	2.791745	2.848994	1.898
250	2.865195	2.683650	2.068
275	2.732635	2.791507	1.867
300	2.621014	2.544352	1.912
325	2.537296	2.443189	2.391
350	2.471188	2.785523	2.070
375	2.352292	2.632936	1.972
400	2.480359	2.424010	1.932
425	2.272187	2.344991	2.145
450	2.253122	2.479064	1.879
475	2.602911	2.470411	1.919
500	2.581531	2.479886	1.968
525	2.341101	2.806791	1.894
550	2.599311	2.386723	1.989
575	2.472652	2.519036	1.926
600	2.273684	2.555167	1.862
625	2.503465	2.608881	1.841
650	2.419630	2.541033	1.864
675	2.433854	2.366339	1.945
700	2.424700	2.318438	1.910
725	2.283207	2.206944	2.029
750	2.284058	2.344033	1.907
775	2.512656	2.362320	1.978
800	2.267257	2.237461	1.937
825	2.322017	2.350393	1.881
850	2.373890	2.284085	1.973
875	2.644658	2.318645	2.112
900	2.415566	2.254228	1.926
925	2.196430	2.431672	2.084
950	2.369590	2.108554	1.922
975	2.464330	2.175293	1.916
1000	2.603967	2.184290	1.820
1025	2.377816	2.393572	1.912
1050	2.356744	2.387155	1.985
1075	2.308011	2.548971	1.967
1100	2.269371	2.275329	1.887
1125	2.265619	2.257458	1.887
1150	2.397008	2.392472	2.004
1175	2.433650	2.322386	1.942
1200	2.282130	2.413038	2.040
1225	2.251978	2.414349	1.889
1250	2.180676	2.213428	2.020
1275	2.319076	2.559778	1.926
1300	2.292475	2.257305	1.883
1325	2.337516	2.070473	1.997
1350	2.422343	2.129510	1.912
1375	2.501797	2.428459	1.908
1400	2.449000	2.185479	1.965
1425	2.166836	2.322692	1.839
1450	2.277532	2.166167	1.895
1475	2.513598	2.560206	1.974
1500	2.244321	2.169774	1.883
1525	2.223916	2.208436	1.955
1550	2.162938	2.292519	1.896
1575	2.298592	2.073226	2.339
1600	2.119636	2.343251	2.012
1625	2.210547	2.408415	2.270
1650	2.513421	2.176534	2.062
1675	2.089290	2.151289	1.899
1700	2.188915	1.943348	1.956
1725	2.148589	2.312803	1.823
1750	2.359608	2.323983	3.366
1775	2.402763	2.412113	1.857
1800	2.389574	2.335952	1.945
1825	2.214962	2.192773	1.992
1850	2.182185	2.477015	1.923
1875	2.358021	2.346540	1.896
1900	2.288537	2.246932	1.942
1925	2.149786	2.178164	2.049
1950	2.208274	2.269000	1.895
1975	2.413463	2.143372	1.965
2000	2.259509	2.188994	1.934
